
time 00h 01m 00s, episodes 500, frames 0.0M, mean epr 7.55, run loss 87.69, shares of one box (0.97), two boxes (0.86) and three boxes(0.72) pushed on target, difficulty: 4.0
time 00h 34m 10s, episodes 20261, frames 0.6M, mean epr 1.57, run loss 190.95, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 35m 10s, episodes 20926, frames 0.7M, mean epr 1.60, run loss 187.29, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 36m 10s, episodes 21589, frames 0.7M, mean epr 1.61, run loss 174.09, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 37m 10s, episodes 22235, frames 0.7M, mean epr 1.37, run loss 181.45, shares of one box (0.90), two boxes (0.63) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 38m 10s, episodes 22891, frames 0.7M, mean epr 1.21, run loss 174.84, shares of one box (0.91), two boxes (0.64) and three boxes(0.26) pushed on target, difficulty: 4.0
time 00h 39m 10s, episodes 23546, frames 0.7M, mean epr 1.34, run loss 184.64, shares of one box (0.91), two boxes (0.63) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 40m 10s, episodes 24212, frames 0.8M, mean epr 1.57, run loss 182.83, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 41m 11s, episodes 24867, frames 0.8M, mean epr 1.41, run loss 179.59, shares of one box (0.91), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 42m 11s, episodes 25523, frames 0.8M, mean epr 1.30, run loss 176.77, shares of one box (0.91), two boxes (0.63) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 43m 11s, episodes 26186, frames 0.8M, mean epr 1.47, run loss 183.94, shares of one box (0.91), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 44m 11s, episodes 26838, frames 0.8M, mean epr 1.59, run loss 192.50, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 45m 11s, episodes 27490, frames 0.9M, mean epr 1.49, run loss 189.54, shares of one box (0.91), two boxes (0.62) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 46m 12s, episodes 28149, frames 0.9M, mean epr 1.36, run loss 177.83, shares of one box (0.91), two boxes (0.62) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 47m 12s, episodes 28811, frames 0.9M, mean epr 1.63, run loss 195.54, shares of one box (0.91), two boxes (0.62) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 48m 13s, episodes 29484, frames 0.9M, mean epr 1.67, run loss 188.93, shares of one box (0.91), two boxes (0.63) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 49m 13s, episodes 30144, frames 0.9M, mean epr 1.59, run loss 185.46, shares of one box (0.90), two boxes (0.61) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 50m 13s, episodes 30795, frames 1.0M, mean epr 1.56, run loss 182.54, shares of one box (0.90), two boxes (0.62) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 51m 14s, episodes 31463, frames 1.0M, mean epr 1.63, run loss 176.57, shares of one box (0.91), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 52m 15s, episodes 32133, frames 1.0M, mean epr 1.69, run loss 185.18, shares of one box (0.92), two boxes (0.63) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 53m 16s, episodes 32783, frames 1.0M, mean epr 1.59, run loss 181.86, shares of one box (0.92), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 54m 16s, episodes 33437, frames 1.0M, mean epr 1.46, run loss 180.79, shares of one box (0.92), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 55m 17s, episodes 34089, frames 1.1M, mean epr 1.25, run loss 171.37, shares of one box (0.90), two boxes (0.63) and three boxes(0.26) pushed on target, difficulty: 4.0
time 00h 56m 19s, episodes 34759, frames 1.1M, mean epr 1.36, run loss 182.95, shares of one box (0.91), two boxes (0.63) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 57m 19s, episodes 35416, frames 1.1M, mean epr 1.54, run loss 186.36, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 58m 20s, episodes 36074, frames 1.1M, mean epr 1.59, run loss 188.35, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 59m 21s, episodes 36727, frames 1.2M, mean epr 1.50, run loss 186.47, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 00m 21s, episodes 37384, frames 1.2M, mean epr 1.65, run loss 192.25, shares of one box (0.92), two boxes (0.67) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 01m 21s, episodes 38043, frames 1.2M, mean epr 1.80, run loss 189.06, shares of one box (0.92), two boxes (0.67) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 02m 21s, episodes 38699, frames 1.2M, mean epr 1.66, run loss 186.30, shares of one box (0.92), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 03m 22s, episodes 39348, frames 1.2M, mean epr 1.49, run loss 192.22, shares of one box (0.92), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 04m 23s, episodes 39997, frames 1.3M, mean epr 1.41, run loss 185.43, shares of one box (0.92), two boxes (0.63) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 05m 23s, episodes 40655, frames 1.3M, mean epr 1.48, run loss 174.93, shares of one box (0.92), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 06m 24s, episodes 41319, frames 1.3M, mean epr 1.52, run loss 166.92, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 07m 24s, episodes 41970, frames 1.3M, mean epr 1.61, run loss 189.32, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 08m 24s, episodes 42633, frames 1.3M, mean epr 1.60, run loss 197.44, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 09m 24s, episodes 43288, frames 1.4M, mean epr 1.71, run loss 201.76, shares of one box (0.91), two boxes (0.66) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 10m 24s, episodes 43934, frames 1.4M, mean epr 1.56, run loss 195.80, shares of one box (0.90), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 11m 24s, episodes 44588, frames 1.4M, mean epr 1.50, run loss 186.92, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 12m 25s, episodes 45253, frames 1.4M, mean epr 1.70, run loss 192.70, shares of one box (0.91), two boxes (0.64) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 13m 25s, episodes 45914, frames 1.4M, mean epr 1.78, run loss 193.56, shares of one box (0.92), two boxes (0.65) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 14m 26s, episodes 46581, frames 1.5M, mean epr 1.71, run loss 186.35, shares of one box (0.91), two boxes (0.64) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 15m 26s, episodes 47219, frames 1.5M, mean epr 1.40, run loss 181.28, shares of one box (0.90), two boxes (0.62) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 16m 26s, episodes 47877, frames 1.5M, mean epr 1.51, run loss 190.67, shares of one box (0.91), two boxes (0.66) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 17m 26s, episodes 48534, frames 1.5M, mean epr 1.43, run loss 188.21, shares of one box (0.90), two boxes (0.65) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 18m 26s, episodes 49196, frames 1.5M, mean epr 1.69, run loss 194.25, shares of one box (0.91), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 19m 27s, episodes 49853, frames 1.6M, mean epr 1.56, run loss 177.43, shares of one box (0.92), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 20m 27s, episodes 50506, frames 1.6M, mean epr 1.55, run loss 179.09, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 21m 28s, episodes 51178, frames 1.6M, mean epr 1.65, run loss 179.75, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 22m 29s, episodes 51834, frames 1.6M, mean epr 1.62, run loss 170.87, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 23m 29s, episodes 52494, frames 1.6M, mean epr 1.83, run loss 182.76, shares of one box (0.92), two boxes (0.66) and three boxes(0.31) pushed on target, difficulty: 4.0
time 01h 24m 29s, episodes 53159, frames 1.7M, mean epr 1.89, run loss 177.32, shares of one box (0.92), two boxes (0.66) and three boxes(0.31) pushed on target, difficulty: 4.0
time 01h 25m 29s, episodes 53815, frames 1.7M, mean epr 1.77, run loss 182.82, shares of one box (0.92), two boxes (0.65) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 26m 29s, episodes 54470, frames 1.7M, mean epr 1.72, run loss 177.81, shares of one box (0.92), two boxes (0.65) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 27m 30s, episodes 55132, frames 1.7M, mean epr 1.50, run loss 179.51, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 28m 30s, episodes 55774, frames 1.7M, mean epr 1.42, run loss 185.45, shares of one box (0.90), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 29m 30s, episodes 56433, frames 1.8M, mean epr 1.52, run loss 189.24, shares of one box (0.91), two boxes (0.66) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 30m 30s, episodes 57092, frames 1.8M, mean epr 1.50, run loss 182.57, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 31m 30s, episodes 57747, frames 1.8M, mean epr 1.56, run loss 190.80, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 32m 31s, episodes 58412, frames 1.8M, mean epr 1.58, run loss 176.12, shares of one box (0.90), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 33m 32s, episodes 59084, frames 1.8M, mean epr 1.64, run loss 171.59, shares of one box (0.90), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 34m 32s, episodes 59735, frames 1.9M, mean epr 1.50, run loss 172.39, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 35m 32s, episodes 60397, frames 1.9M, mean epr 1.59, run loss 176.57, shares of one box (0.91), two boxes (0.66) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 36m 33s, episodes 61045, frames 1.9M, mean epr 1.47, run loss 169.15, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 37m 33s, episodes 61707, frames 1.9M, mean epr 1.67, run loss 178.51, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 38m 33s, episodes 62366, frames 2.0M, mean epr 1.56, run loss 168.26, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 39m 34s, episodes 63020, frames 2.0M, mean epr 1.62, run loss 185.42, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 40m 34s, episodes 63674, frames 2.0M, mean epr 1.47, run loss 171.66, shares of one box (0.92), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0

	2M frames: saved model

time 01h 41m 34s, episodes 64330, frames 2.0M, mean epr 1.84, run loss 170.22, shares of one box (0.91), two boxes (0.64) and three boxes(0.31) pushed on target, difficulty: 4.0
time 01h 42m 35s, episodes 64979, frames 2.0M, mean epr 1.67, run loss 178.70, shares of one box (0.90), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 43m 35s, episodes 65629, frames 2.1M, mean epr 1.44, run loss 184.98, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 44m 35s, episodes 66276, frames 2.1M, mean epr 1.29, run loss 171.96, shares of one box (0.90), two boxes (0.63) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 45m 35s, episodes 66895, frames 2.1M, mean epr 1.41, run loss 174.79, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 46m 36s, episodes 67471, frames 2.1M, mean epr 1.48, run loss 179.63, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 47m 36s, episodes 68095, frames 2.1M, mean epr 1.58, run loss 186.08, shares of one box (0.91), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 48m 36s, episodes 68725, frames 2.2M, mean epr 1.53, run loss 187.59, shares of one box (0.91), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 49m 36s, episodes 69366, frames 2.2M, mean epr 1.74, run loss 194.48, shares of one box (0.91), two boxes (0.64) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 50m 36s, episodes 69993, frames 2.2M, mean epr 1.69, run loss 188.62, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 51m 36s, episodes 70619, frames 2.2M, mean epr 1.57, run loss 181.03, shares of one box (0.92), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 52m 37s, episodes 71255, frames 2.2M, mean epr 1.70, run loss 178.63, shares of one box (0.93), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 53m 37s, episodes 71877, frames 2.2M, mean epr 1.66, run loss 178.33, shares of one box (0.92), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 54m 38s, episodes 72514, frames 2.3M, mean epr 1.61, run loss 176.87, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 55m 38s, episodes 73164, frames 2.3M, mean epr 1.63, run loss 179.96, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 56m 38s, episodes 73829, frames 2.3M, mean epr 1.53, run loss 172.22, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 57m 38s, episodes 74487, frames 2.3M, mean epr 1.63, run loss 181.14, shares of one box (0.92), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 58m 38s, episodes 75141, frames 2.4M, mean epr 1.39, run loss 173.38, shares of one box (0.91), two boxes (0.66) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 59m 38s, episodes 75797, frames 2.4M, mean epr 1.44, run loss 183.43, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 00m 38s, episodes 76455, frames 2.4M, mean epr 1.57, run loss 181.34, shares of one box (0.91), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 01m 38s, episodes 77119, frames 2.4M, mean epr 1.67, run loss 179.53, shares of one box (0.91), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 02m 38s, episodes 77774, frames 2.4M, mean epr 1.71, run loss 181.43, shares of one box (0.91), two boxes (0.66) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 03m 39s, episodes 78416, frames 2.5M, mean epr 1.69, run loss 177.87, shares of one box (0.92), two boxes (0.67) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 04m 39s, episodes 79014, frames 2.5M, mean epr 1.75, run loss 191.20, shares of one box (0.92), two boxes (0.66) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 05m 39s, episodes 79629, frames 2.5M, mean epr 1.68, run loss 188.37, shares of one box (0.91), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 06m 39s, episodes 80243, frames 2.5M, mean epr 1.63, run loss 185.87, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 07m 39s, episodes 80859, frames 2.5M, mean epr 1.63, run loss 178.28, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 08m 39s, episodes 81488, frames 2.5M, mean epr 1.76, run loss 179.98, shares of one box (0.91), two boxes (0.65) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 09m 39s, episodes 82093, frames 2.6M, mean epr 1.42, run loss 167.94, shares of one box (0.90), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 10m 40s, episodes 82712, frames 2.6M, mean epr 1.53, run loss 186.28, shares of one box (0.90), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 11m 41s, episodes 83338, frames 2.6M, mean epr 1.57, run loss 191.53, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 12m 41s, episodes 83963, frames 2.6M, mean epr 1.61, run loss 200.28, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 13m 41s, episodes 84614, frames 2.6M, mean epr 1.58, run loss 187.31, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 14m 41s, episodes 85265, frames 2.7M, mean epr 1.44, run loss 180.31, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 15m 41s, episodes 85907, frames 2.7M, mean epr 1.27, run loss 178.02, shares of one box (0.91), two boxes (0.63) and three boxes(0.26) pushed on target, difficulty: 4.0
time 02h 16m 42s, episodes 86573, frames 2.7M, mean epr 1.40, run loss 186.89, shares of one box (0.91), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 17m 42s, episodes 87229, frames 2.7M, mean epr 1.39, run loss 193.25, shares of one box (0.92), two boxes (0.65) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 18m 43s, episodes 87901, frames 2.7M, mean epr 1.59, run loss 180.50, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 19m 44s, episodes 88559, frames 2.8M, mean epr 1.40, run loss 178.70, shares of one box (0.91), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 20m 44s, episodes 89212, frames 2.8M, mean epr 1.40, run loss 174.15, shares of one box (0.91), two boxes (0.65) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 21m 44s, episodes 89874, frames 2.8M, mean epr 1.50, run loss 175.02, shares of one box (0.90), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 22m 44s, episodes 90546, frames 2.8M, mean epr 1.70, run loss 182.61, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 23m 44s, episodes 91206, frames 2.9M, mean epr 1.56, run loss 162.14, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 24m 45s, episodes 91861, frames 2.9M, mean epr 1.57, run loss 177.16, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 25m 45s, episodes 92526, frames 2.9M, mean epr 1.55, run loss 172.29, shares of one box (0.90), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 26m 45s, episodes 93181, frames 2.9M, mean epr 1.62, run loss 175.54, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 27m 45s, episodes 93845, frames 2.9M, mean epr 1.58, run loss 177.04, shares of one box (0.91), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 28m 46s, episodes 94477, frames 3.0M, mean epr 1.70, run loss 191.27, shares of one box (0.91), two boxes (0.63) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 29m 46s, episodes 95113, frames 3.0M, mean epr 1.86, run loss 197.29, shares of one box (0.92), two boxes (0.64) and three boxes(0.31) pushed on target, difficulty: 4.0
time 02h 30m 46s, episodes 95763, frames 3.0M, mean epr 2.20, run loss 191.54, shares of one box (0.92), two boxes (0.66) and three boxes(0.33) pushed on target, difficulty: 4.0
time 02h 31m 47s, episodes 96401, frames 3.0M, mean epr 2.12, run loss 194.19, shares of one box (0.92), two boxes (0.65) and three boxes(0.33) pushed on target, difficulty: 4.0
time 02h 32m 47s, episodes 97020, frames 3.0M, mean epr 1.98, run loss 197.14, shares of one box (0.91), two boxes (0.65) and three boxes(0.32) pushed on target, difficulty: 4.0
time 02h 33m 47s, episodes 97636, frames 3.1M, mean epr 1.91, run loss 194.78, shares of one box (0.91), two boxes (0.64) and three boxes(0.31) pushed on target, difficulty: 4.0
time 02h 34m 48s, episodes 98262, frames 3.1M, mean epr 1.63, run loss 178.58, shares of one box (0.91), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 35m 48s, episodes 98889, frames 3.1M, mean epr 1.68, run loss 174.39, shares of one box (0.91), two boxes (0.64) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 36m 48s, episodes 99506, frames 3.1M, mean epr 1.58, run loss 178.26, shares of one box (0.90), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 37m 50s, episodes 100122, frames 3.1M, mean epr 1.44, run loss 179.28, shares of one box (0.91), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
